,churn
61457,1
4982,1
51403,1
50506,1
24247,1
35798,1
10135,1
66229,1
48926,1
6153,1
26295,1
59057,1
60269,1
250,1
114267,0
56434,1
96294,0
80297,1
102534,0
101544,0
44482,1
32444,1
110442,0
33090,1
5202,1
7675,1
105795,0
22753,1
85988,1
106272,0
65080,1
69417,1
99371,0
37128,1
107,1
73797,1
110387,0
78958,1
4178,1
112428,0
56796,1
23701,1
87285,1
6801,1
103093,0
94382,0
9728,1
91546,1
41207,1
25182,1
94337,0
32186,1
79483,1
78636,1
108264,0
108802,0
13594,1
69826,1
23189,1
68812,1
44637,1
22612,1
114269,0
95261,0
48506,1
49501,1
42046,1
17722,1
28448,1
70510,1
29874,1
15849,1
98461,0
78156,1
81668,1
36421,1
84800,1
41443,1
89315,1
18753,1
23241,1
69546,1
36188,1
50588,1
102185,0
22780,1
106882,0
57350,1
104819,0
58774,1
5310,1
96936,0
99921,0
36925,1
15575,1
76768,1
8308,1
19542,1
47980,1
35006,1
81884,1
103414,0
18021,1
90805,1
108699,0
115547,0
101488,0
29177,1
69013,1
109548,0
72814,1
41961,1
44664,1
6924,1
75993,1
28850,1
71146,1
96765,0
42063,1
59053,1
19112,1
49991,1
105301,0
77622,1
67742,1
101689,0
86087,1
48832,1
85699,1
19452,1
70485,1
41897,1
81046,1
30321,1
78709,1
45325,1
69678,1
90697,1
82893,1
44475,1
52496,1
78615,1
91196,1
52477,1
77499,1
70774,1
91569,1
60885,1
60869,1
27641,1
106233,0
8433,1
62739,1
25493,1
70470,1
111659,0
66675,1
8045,1
40844,1
861,1
95237,0
20244,1
32464,1
55083,1
15805,1
42292,1
17086,1
106421,0
106399,0
75306,1
109213,0
56537,1
95752,0
34839,1
95219,0
10474,1
2296,1
24982,1
28383,1
29228,1
98711,0
34082,1
24939,1
14875,1
47497,1
106186,0
80684,1
23137,1
12628,1
74654,1
52852,1
700,1
615,1
65197,1
41093,1
68804,1
107355,0
90111,1
76756,1
54323,1
38510,1
65125,1
104553,0
22875,1
72363,1
93348,1
108296,0
58957,1
40127,1
104077,0
37450,1
73082,1
39719,1
105131,0
43405,1
107659,0
42170,1
4677,1
74236,1
27271,1
63369,1
34925,1
91157,1
41008,1
80225,1
105317,0
94943,0
85682,1
86649,1
81223,1
104765,0
45044,1
50254,1
16667,1
87911,1
83585,1
81058,1
54315,1
39681,1
50193,1
60469,1
73352,1
32784,1
14365,1
99332,0
97698,0
53251,1
72118,1
3787,1
96602,0
76776,1
38597,1
87564,1
26824,1
37526,1
53656,1
1784,1
22649,1
21894,1
43629,1
6648,1
32341,1
78258,1
102253,0
44245,1
112451,0
65041,1
81161,1
38508,1
20741,1
19336,1
34966,1
109673,0
5993,1
10128,1
14432,1
109515,0
60704,1
79973,1
96893,0
31195,1
41991,1
67023,1
66761,1
92539,1
20251,1
28584,1
15107,1
52943,1
7968,1
50599,1
100636,0
37575,1
29183,1
73453,1
74412,1
36490,1
30683,1
85580,1
76842,1
24368,1
66667,1
84246,1
5718,1
32531,1
2364,1
59981,1
53533,1
66836,1
1959,1
43995,1
13781,1
44062,1
43709,1
72150,1
87874,1
61273,1
99135,0
24143,1
1995,1
39346,1
86832,1
40474,1
54539,1
4468,1
59206,1
38827,1
115064,0
101441,0
95876,0
18148,1
30204,1
100365,0
33915,1
65393,1
66583,1
42099,1
82429,1
54118,0
92029,1
86358,1
69247,1
28091,1
106373,0
114134,0
106232,0
36975,1
40253,1
13786,1
80969,1
40081,1
91317,1
101408,0
33415,1
78720,1
32670,1
30947,1
73618,1
3090,1
69522,1
87354,1
37803,1
5146,1
57325,1
81237,1
198,1
97391,0
68750,1
75131,1
113051,0
26977,0
96997,0
48782,1
88194,1
94809,0
115327,0
23776,1
79738,1
82357,1
17334,1
72567,1
2214,1
27289,1
106718,0
952,1
4066,1
9837,1
108066,0
94377,0
19064,1
86399,1
27571,1
7278,1
96405,0
77269,1
113478,0
105389,0
34206,1
86254,1
31094,1
54294,1
41216,1
26939,1
26572,1
77879,1
85923,0
92052,1
39932,1
7458,1
37442,1
62938,1
24116,1
22437,1
96831,0
66047,1
11717,1
32862,1
89180,1
67439,1
92598,1
48639,1
104794,0
109248,0
77273,1
101635,0
83884,1
68338,1
83188,1
44209,1
106278,0
105796,0
83212,1
20077,1
7965,1
110865,0
75341,1
29388,1
51423,1
113963,0
103637,0
81939,1
70766,1
113158,0
105552,0
34015,1
5748,1
30173,1
44493,1
38989,1
60428,1
82759,1
32374,1
77296,1
18984,1
84685,1
31931,1
77284,1
105244,0
87040,1
64038,1
21306,1
5171,1
98203,0
70516,1
98759,0
44727,1
70335,1
56321,1
54069,1
45559,1
76505,1
12893,1
23286,1
52614,1
70731,1
56748,1
39617,1
106925,0
106039,0
11533,1
57252,1
33112,1
87738,1
82762,1
15220,1
70507,1
87702,1
40351,1
25547,1
5287,1
34071,1
32593,1
105382,0
4325,1
22907,1
76501,1
34273,1
61583,1
58179,1
8368,1
81675,1
99877,0
10544,1
39832,1
115458,0
71273,1
61386,1
17870,1
52448,1
40775,1
37524,1
98848,0
81183,1
13411,1
74266,1
92455,1
20261,1
68826,1
105451,0
108236,0
113433,0
33884,1
5866,1
84107,1
529,1
21972,1
25764,1
11033,1
30205,1
25362,1
12259,1
49511,1
55549,1
111480,0
11758,1
98337,0
97767,0
73466,1
31014,1
51904,1
103987,0
87535,1
80765,1
91438,1
8210,1
114991,0
106736,0
94967,0
26390,1
99226,0
85490,1
5054,1
39783,1
8585,0
76484,1
43541,1
65278,1
56262,1
84049,1
66559,1
94116,0
2934,1
50068,1
47170,1
56488,1
109017,0
36846,1
62916,1
95201,0
44373,1
21471,1
48043,1
38200,1
47536,1
83820,1
34177,1
109960,0
92499,1
86438,1
12598,1
5580,1
102108,0
9987,1
14534,1
54848,1
77909,1
98702,0
48111,1
39720,1
17669,1
11944,1
17609,1
24253,1
7085,1
49730,1
97400,0
45172,1
99509,0
2864,1
21738,1
80073,1
64251,1
92859,1
62013,1
102245,0
24149,1
52126,1
114417,0
114900,0
62488,1
51293,1
56782,1
101492,0
14593,1
91665,1
104391,0
98328,0
108211,0
89636,1
61815,1
50684,1
74220,1
27703,1
88693,1
47094,1
31639,1
111885,0
4614,1
3997,1
111223,0
78453,1
34824,1
101494,0
81431,1
55077,1
20819,1
85942,1
44733,1
93569,1
88243,1
111144,0
104034,0
3123,1
91701,1
72716,1
54411,1
25706,1
38258,1
95877,0
51761,1
32518,1
9719,1
42753,1
52010,1
86056,1
95331,0
54204,1
89285,1
66437,1
13081,1
90812,1
66054,1
72029,1
96931,0
96149,0
103270,0
65205,1
99736,0
96436,0
13155,1
16280,1
19519,1
24013,1
75571,1
62757,1
101152,0
25205,1
2678,1
87069,1
1760,1
110757,0
91837,1
76336,1
80786,1
27414,1
21320,1
47479,1
102088,0
65648,1
21334,1
63575,1
17002,1
18891,1
38725,1
113931,0
66659,1
97002,0
104081,0
32841,0
107498,0
13452,1
98777,0
97449,0
92070,1
15721,1
29814,1
35376,1
60748,1
23616,1
109550,0
23930,1
38485,1
108702,0
81218,1
44036,1
56554,1
29344,1
11190,1
54395,1
109521,0
77976,1
50432,1
57054,1
85175,1
109584,0
106401,0
41200,0
108918,0
9316,1
67118,1
2788,1
3729,1
26749,1
69838,1
27156,1
79059,1
59136,1
70974,1
55961,1
41329,1
99207,0
109669,0
107252,0
40504,1
38879,1
64037,1
39946,1
25758,1
67834,1
65592,1
64547,1
17946,1
18485,1
41448,1
84893,1
110288,0
112125,0
113504,0
38453,1
23087,1
4350,1
20791,1
78112,1
77435,1
84084,1
50210,1
29942,1
70816,1
68187,1
44048,1
115566,0
49829,0
46689,1
84752,1
50234,1
14663,1
39391,1
90848,1
110912,0
93256,1
87621,1
54984,1
21356,1
51906,1
53925,1
73837,1
10626,1
100260,0
107506,0
5900,1
46302,1
100668,0
10459,1
39948,1
52404,1
113893,0
102845,0
4493,1
947,1
362,1
60271,1
65304,1
66460,1
79611,1
56036,1
6970,1
45338,1
73339,1
83737,1
114032,0
83692,1
31503,1
41127,1
108573,0
7684,1
56497,1
71917,1
114433,0
100346,0
101345,0
36094,1
12603,1
108167,0
51152,1
83642,1
88669,1
75515,1
92687,1
8299,1
13983,1
108584,0
606,1
105914,0
44881,1
85211,1
109725,0
5944,1
84017,1
100894,0
479,1
113984,0
107294,0
106986,0
10939,1
50772,1
114809,0
60020,1
61291,1
92350,1
33865,1
74883,1
70909,1
28794,1
112249,0
109949,0
73889,1
58772,1
90530,1
27492,1
60495,1
81795,1
84373,1
69441,1
56311,1
71177,1
26481,1
50331,1
36050,1
108615,0
68236,1
61327,1
75308,1
94858,0
23203,1
86850,1
67960,1
10529,1
33004,1
65606,0
98659,0
22276,1
21130,1
67615,1
20302,1
105854,0
1791,1
30907,1
46421,1
52874,1
1651,1
120,1
28404,1
7755,1
68910,0
65404,1
30268,1
86194,1
91270,1
96864,0
49796,1
21250,1
11392,1
106455,0
102965,0
20971,1
83281,1
68234,1
44653,1
108861,0
67794,1
32681,1
91664,1
65804,1
96939,0
101101,0
16860,1
89178,1
65457,1
57975,1
115417,0
83524,1
15597,1
62981,1
87635,1
30707,1
28999,1
2847,1
92431,1
46943,1
109087,0
6390,1
73248,1
3582,1
315,1
72216,1
96784,0
33350,1
42357,1
96366,0
44600,1
61454,1
50171,1
115543,0
85727,1
55641,1
103344,0
85277,1
55387,1
107512,0
92693,1
45922,1
94641,0
24844,1
107657,0
27763,1
6923,1
93927,0
86963,1
27453,1
18075,1
58548,1
74043,1
90142,1
24854,1
47768,1
36941,1
8513,1
84883,1
437,1
74539,1
1190,1
35488,1
27850,1
114698,0
85256,1
55770,1
76149,1
62690,1
86814,1
90367,1
109472,0
49657,1
69169,1
97408,0
82336,1
97253,0
2482,1
100530,0
7906,1
26902,1
15086,1
49124,1
38600,1
45364,1
18859,1
46642,1
100552,0
97931,0
113590,0
46658,1
50470,1
84655,1
79219,1
46728,1
87057,1
25843,1
112025,0
43875,1
83586,1
74255,1
64892,1
71450,1
57312,1
91626,1
60661,1
43156,1
39310,1
87936,1
38238,1
80319,1
4371,1
6419,1
89038,1
36716,1
113271,0
4429,1
73298,1
104763,0
68078,1
98439,0
100146,0
101454,0
15335,1
6473,1
92302,1
29965,1
68116,1
54194,1
100103,0
81966,1
43137,1
94456,0
24808,1
73640,1
82725,1
45529,1
94279,0
42212,1
64604,1
62471,1
63123,1
55263,1
112841,0
5263,1
13459,1
73137,1
60833,1
106451,0
101016,0
112046,0
114538,0
43721,1
22762,1
94454,0
83991,1
103932,0
45415,1
16217,1
11960,1
87221,1
66569,1
95476,0
77239,1
95532,0
55408,1
17032,1
38070,1
42128,1
1396,1
50124,1
64887,1
10202,1
100580,0
105297,0
38370,1
26403,1
95657,0
91402,1
98388,0
11177,1
79772,1
10957,1
101951,0
76999,1
74545,1
29598,1
26388,1
11431,1
81556,1
79199,1
25328,1
72415,1
393,1
55034,1
71497,1
42344,1
23353,1
82757,1
53688,1
32778,1
96516,0
105115,0
24245,1
61765,1
50808,1
30155,1
109294,0
49687,1
112401,0
69641,1
24103,1
86634,1
31701,1
15496,1
96588,0
59219,1
97325,0
3739,1
47161,1
39467,1
50522,1
83544,1
27760,1
20421,1
63966,1
79733,1
52233,1
98263,0
57266,1
85645,1
22557,1
34410,1
53254,1
25961,1
17386,1
34805,1
45029,1
115374,0
99531,0
12653,1
41741,1
86062,1
6628,1
50738,1
68865,1
49118,1
7136,1
8018,1
23254,1
23305,1
40320,1
70269,1
81331,0
43781,1
94517,0
49985,1
77966,1
33642,1
14718,1
72755,1
75742,1
105122,0
39741,1
89975,1
59246,1
96135,0
24642,1
100720,0
16027,1
13425,1
70092,1
10,1
559,1
20498,1
91213,1
41635,1
62992,1
105030,0
38399,1
113223,0
114791,0
25159,1
44640,1
11745,1
66728,1
21601,1
102918,0
28491,1
69848,1
21642,1
27605,1
83106,1
103947,0
14122,1
260,1
53880,1
40997,1
34744,1
79595,1
18674,1
15383,1
44022,1
86696,1
54650,1
38553,1
9096,1
107609,0
4534,1
96078,0
69984,1
45458,1
64023,1
75283,1
50356,1
20094,1
15274,1
69075,1
66819,1
94215,0
37045,1
25963,1
40826,1
58442,1
63802,1
105707,0
90408,1
33059,1
16676,1
78732,1
79752,1
468,1
20122,1
59076,1
48808,1
48288,1
87427,1
67270,1
13789,1
57499,1
6380,1
44675,1
71156,1
114025,0
63138,1
115183,0
76650,1
77932,1
104366,0
66705,1
8285,1
80264,1
55266,1
14057,1
100283,0
66647,1
79464,1
76093,1
74356,1
50505,1
17642,1
3287,1
3285,1
113744,0
65478,1
102769,0
38573,1
99335,0
17107,1
59660,1
11278,1
104382,0
99309,0
115272,0
102554,0
30293,1
78555,1
13005,1
84925,1
59239,1
71230,1
112380,0
89942,1
67920,1
20702,1
109876,0
7891,1
40918,1
76462,1
10554,1
67446,1
59504,1
8418,1
38658,1
83866,1
107794,0
36408,1
40748,1
66812,1
2884,1
49972,1
105685,0
97921,0
62659,1
72502,1
10013,1
85543,1
48167,1
38296,1
111920,0
15508,1
9481,1
33532,1
71978,1
64581,1
114591,0
6488,1
47266,1
15167,1
41771,1
102053,0
19412,1
4353,1
90172,1
69989,1
93565,1
71489,1
16293,1
80703,1
7497,1
75495,1
22510,1
93548,1
110146,0
54500,1
12526,1
32326,1
17662,1
112923,0
44020,1
3814,1
94768,0
5255,1
112187,0
70539,1
55029,1
84275,1
27978,1
74705,1
16866,1
89519,1
88739,1
65066,1
12988,1
31329,1
73135,1
101554,0
16915,1
108392,0
9940,1
110037,0
107792,0
10319,1
67755,1
32852,1
69051,1
88436,1
81690,1
98491,0
53318,1
110691,0
18028,1
97709,0
28237,1
18379,1
68978,1
53838,1
9736,1
19518,1
58765,1
92798,1
63379,1
71443,1
17160,1
54641,1
61424,1
86341,1
58279,1
51361,1
35047,1
93706,0
75704,1
22577,1
95493,0
113850,0
21455,1
5633,1
45444,1
49784,1
33511,1
49532,1
111233,0
15954,1
34269,1
100158,0
105966,0
41816,1
9868,1
1695,1
28009,1
49058,1
94666,0
40084,1
87300,1
97290,0
90240,1
58918,1
47549,1
108166,0
13533,1
53653,1
33011,1
17524,1
56846,1
113010,0
39987,1
71901,1
91617,0
8636,1
28872,1
49982,1
60903,1
115456,0
46338,1
59448,1
87735,1
77350,1
84045,1
102879,0
108766,0
51700,1
69997,1
106195,0
10843,1
76351,1
47455,1
63995,1
39270,1
96267,0
46588,1
59391,1
60106,1
70359,1
14374,1
94368,0
1970,1
33049,1
62554,1
61651,1
17707,1
110888,0
313,1
63334,1
40260,1
37216,1
15485,1
29451,1
67974,1
23641,1
6082,1
1476,1
68381,1
23737,1
78727,1
17749,1
39853,1
104212,0
110589,0
30420,1
51493,1
54436,1
28344,1
156,1
86001,1
103971,0
40853,1
115620,0
56633,1
110281,0
113032,0
15726,1
3722,1
52753,1
8039,1
3674,1
55741,1
44108,1
62454,1
63012,1
112694,0
88564,1
7320,1
91054,1
87902,1
102727,0
13322,1
104432,0
69199,1
112144,0
76707,1
90939,1
9425,1
85776,1
26154,1
95015,0
67678,1
113501,0
79838,1
20740,1
83115,1
67706,1
20435,1
33829,1
61716,1
115476,0
72285,1
81530,1
84389,1
15579,1
79044,0
52928,1
53200,1
26393,1
49345,1
45856,1
28928,1
102278,0
19660,1
94300,0
18532,1
49448,1
62335,1
101302,0
111253,0
15906,1
6907,1
111394,0
38209,1
72456,1
60130,1
91684,1
30163,1
17955,1
93098,1
113392,0
103944,0
8627,1
26951,1
102662,0
79798,1
90378,1
52444,1
49535,1
5871,1
80555,1
40058,1
16188,1
69988,1
65439,1
61772,1
55934,1
43080,1
3645,1
56145,1
57627,1
35046,1
73336,1
66033,1
97091,0
93504,1
2718,1
98989,0
17184,1
98925,0
96226,0
40619,0
19567,1
79002,1
65550,1
79398,1
13443,1
22036,1
111116,0
59865,1
28060,1
24999,1
13495,1
61653,1
20617,1
32234,1
18654,1
87457,1
47512,1
28578,1
69171,1
5780,1
103639,0
3783,1
47754,1
42867,1
100017,0
106657,0
68138,1
29507,1
89361,1
42703,1
24873,1
74932,1
95526,0
11575,1
80113,1
67780,1
22452,1
59993,1
99131,0
75390,1
41050,1
59459,1
86000,1
47689,1
41728,1
53022,1
65178,1
22190,1
9054,1
71708,1
59767,1
9618,1
19729,1
8713,1
50619,1
58643,1
57344,1
9931,1
10026,1
75928,1
78375,1
31029,1
72752,1
110183,0
33785,1
10862,1
78756,1
71756,1
64374,1
899,1
107870,0
57803,1
32696,1
112695,0
90677,1
88441,1
106367,0
113118,0
51499,1
110579,0
102733,0
73763,1
84346,1
110721,0
97850,0
38565,1
94614,0
108720,0
86139,1
60037,1
12157,1
82860,1
106357,0
30688,1
18975,1
105816,0
14788,1
24447,1
19988,1
64846,1
94790,0
71086,1
9873,1
22500,1
26954,1
76711,1
69225,1
113899,0
16465,1
20101,1
54321,1
25854,1
66157,1
112456,0
945,1
32880,1
20019,1
9849,1
15090,1
73112,1
40457,1
43665,1
98088,0
513,1
32725,1
31270,1
94487,0
65950,1
104169,0
41416,1
20630,1
90559,1
98028,0
58316,1
91911,1
32744,1
106319,0
99202,0
31383,1
39026,1
15158,1
55315,1
105657,0
69213,1
59971,1
43115,1
108250,0
22013,1
31056,1
25539,1
84587,1
67957,1
39114,1
85071,1
35271,1
109632,0
60990,1
95758,0
58484,1
92250,1
70489,1
29711,1
82039,1
64289,1
80394,1
65644,1
34356,1
67291,1
79363,1
1152,1
63672,1
22031,1
87141,1
23435,1
64394,1
11602,1
9399,1
66582,1
108685,0
43530,1
93582,1
84933,1
10364,1
16155,1
52378,1
77124,1
33706,1
40695,1
2799,1
81576,1
111644,0
24236,1
47764,1
81908,1
81020,1
67053,1
56299,1
32395,1
58187,1
59236,1
12475,1
58449,1
40378,1
52000,1
27229,1
59470,1
95009,0
111952,0
33822,1
3820,1
66242,1
25770,1
80179,1
77561,1
85689,1
106224,0
53976,1
82426,1
10606,1
58466,1
30560,1
27134,1
84568,1
112077,0
2155,1
91078,1
86420,1
48640,1
98889,0
22015,1
107009,0
87116,1
107347,0
20510,1
84270,1
96140,0
97028,0
10605,1
63307,1
96229,0
30728,1
44880,1
52208,1
52301,1
104067,0
77400,1
50222,1
34666,1
33790,1
78818,1
112376,0
73012,1
52751,1
104051,0
32587,1
32419,1
52467,1
111002,0
54327,1
8427,1
99781,0
75420,1
71702,1
83892,1
61894,1
7161,1
77493,1
51088,1
95263,0
9776,1
110101,0
79066,1
32088,1
44748,1
44035,1
62245,1
70451,1
113145,0
57326,1
107984,0
76091,1
68609,1
30143,1
11023,1
43380,0
82292,1
7469,1
7825,1
54859,1
62753,1
101515,0
64465,1
106735,0
97497,0
78989,1
11703,1
83195,1
40941,1
93962,0
113035,0
73515,1
39167,1
110916,0
111217,0
57278,1
5346,1
101704,0
87178,1
13575,0
75983,1
30483,1
5429,1
62838,1
47956,1
79934,1
79422,1
103614,0
11625,1
15566,1
90806,1
68250,1
72675,1
63437,1
96033,0
110077,0
70944,1
76701,1
99673,0
34123,1
109344,0
65899,1
86926,1
102611,0
31030,1
5667,1
55049,1
24643,1
85370,1
2598,1
111118,0
76535,1
79049,1
6822,1
68844,1
63414,1
28546,1
32758,1
5008,1
25970,1
56160,1
11065,1
55465,1
53011,1
35934,1
96716,0
52955,1
11780,1
7032,1
1758,1
33352,1
48685,1
106773,0
30484,1
49460,1
107963,0
38916,1
56961,1
36209,1
110100,0
27800,1
23150,1
54414,1
25240,1
63056,1
112951,0
